Manga series,Author,Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million,Average sales per volume in million,Link
Himitsu Series ,"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",Gakken,Children,116,1972–2014,23,0.19,img/3.jpg
The Rose of Versailles,Riyoko Ikeda,Shueisha,Shōjo,10,1972–1973,23,2.3,img/4.jpg
Abu-san,Shinji Mizushima,Shogakukan,Seinen,107,1973–2014,22,0.2,img/5.jpg
Cardcaptor Sakura,Clamp,Kodansha,Shōjo,24,1996–present,22,0.91,img/6.jpg
Hoshin Engi,Ryu Fujisaki,Shueisha,Shōnen,23,1996–2000,22,0.95,img/7.jpg
Kaguya-sama: Love Is War,Aka Akasaka,Shueisha,Seinen,28,2015–2022,22,0.79,img/8.jpg
Terra Formars,"Yū Sasuga, Kenichi Tachibana",Shueisha,Seinen,22,2011–2018 (on hiatus),22,1,img/9.jpg
Dōbutsu no Oisha-san,Noriko Sasaki,Hakusensha,Shōjo,12,1987–1993,21.6,1.8,img/1.jpg
Kaiji,Nobuyuki Fukumoto,Kodansha,Seinen,79,1996–present,21.5,0.28,img/2.jpg
Rookies,Masanori Morita,Shueisha,Shōnen,24,1998–2003,21,0.87,img/3.jpg
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,Shōnen,28,2003–2009,21,0.71,img/4.jpg
Ushijima the Loan Shark,Shohei Manabe,Shogakukan,Seinen,46,2004–2019,21,0.45,img/5.jpg
Dragon Quest Retsuden: Roto no Monshō,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",Enix,Shōnen,21,1991–1997,20.9,0.99,img/6.jpg
Shōnen Shōjo Nippon no Rekishi ,"Kōta Kodama, Arakawa Shoji",Shogakukan,Children,24,1981–2018,20.2,0.84,img/7.jpg
750 Rider,Isami Ishii,Akita Shoten,Shōnen,50,1975–1985,20,0.4,img/8.jpg
Buddha,Osamu Tezuka,Ushio Shuppan,Seinen,14,1972–1983,20,1.42,img/9.jpg
Cat's Eye,Tsukasa Hojo,Shueisha,Shōnen,18,1981–1984,20,1.11,img/1.jpg
Cuffs - Kizu Darake no Chizu ,Jin Tojo,Shueisha,Seinen,32,1997–2005,20,0.63,img/2.jpg
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Shōnen,37,2002–2009,20,0.54,img/3.jpg
The Fable,Katsuhisa Minami,Kodansha,Seinen,26,2014–present,20,1.53,img/4.jpg
Fire Force,Atsushi Ohkubo,Kodansha,Shōnen,34,2015–2022,20,0.58,img/5.jpg
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,Shōnen,36,2012–2019,20,0.55,img/6.jpg
Fushigi Yûgi,Yuu Watase,Shogakukan,Shōjo,18,1991–1996,20,1.11,img/7.jpg
Giant Killing,"Masaya Tsunamoto, Tsujitomo",Kodansha,Seinen,61,2007–present,20,0.32,img/8.jpg
Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",Kadokawa Shoten,Shōnen,57,2004–2018,20,0.35,img/9.jpg
Hayate the Combat Butler,Kenjiro Hata,Shogakukan,Shōnen,52,2004–2017,20,0.38,img/1.jpg
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Shōnen,18,1984–1987,20,1.11,img/2.jpg
Tasogare Ryūseigun ,Kenshi Hirokane,Shogakukan,Seinen,64,1995–present,20,0.31,img/3.jpg
Love Hina,Ken Akamatsu,Kodansha,Shōnen,14,1998–2001,20,1.42,img/4.jpg
Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",Shogakukan,Seinen,18,1988–1994,20,1.11,img/5.jpg
Monster,Naoki Urasawa,Shogakukan,Seinen,18,1994–2001,20,1.11,img/6.jpg
Negima! Magister Negi Magi,Ken Akamatsu,Kodansha,Shōnen,38,2003–2012,20,0.52,img/7.jpg
Peacock King,Makoto Ogino,Shueisha/Shogakukan/Leed,Seinen,55,1985–2019,20,0.36,img/8.jpg
The Quintessential Quintuplets,Negi Haruba,Kodansha,Shōnen,14,2017–2020,20,1.42,img/9.jpg
Red River,Chie Shinohara,Shogakukan,Shōjo,28,1995–2002,20,0.71,img/1.jpg
Shōnen Ashibe,Hiromi Morishita,Shueisha,Seinen,8,1988–1994,20,2.5,img/2.jpg
Sukeban Deka,Shinji Wada,Hakusensha,Shōjo,22,1976–1982,20,0.9,img/3.jpg
Swan,Kyoko Ariyoshi,Shueisha,Shōjo,21,1976–1981,20,0.95,img/4.jpg
The Tale of Genji,Waki Yamato,Kodansha,Shōjo,13,1980–1993,20,1.53,img/5.jpg
Tokyo Daigaku Monogatari,Tatsuya Egawa,Shogakukan,Seinen,34,1992–2001,20,0.58,img/6.jpg
Weed,Yoshihiro Takahashi,Nihon Bungeisha,Seinen,60,1999–2009,20,0.33,img/7.jpg
